Gene,Expression levels in AD samples (TPM),,,,,,,,,,,Expression levels in non-AD samples (TPM),,,,,,,,,,,,log2FoldChange,"Average abundance
log2(CPM)",Likelyhood ratio,P value,padj,Chromosome No,Location,
AC096677.1,0.806685,1.151425,2.658942,1.030328,1.246738,0.254076,1.115096,0.095149,1.044804875,0.778875877516976,,0.219056,0.624326,0.54571,0.632572,0.142353,0.549905,0.304865,0.878838,0.59333,0.039479,0.4530434,0.263478834550414,1.52390861008509,-1.44929483084538,12.374563342143,0.000435222577333784,0.0285288254553357,chr1,201592013,201592738
AC144521.1,3.931435,1.049682,2.000806,1.492245,1.139437,1.510952,3.433306,0.411644,1.871188375,1.21394276564153,,4.177887,4.826666,7.31549,8.757246,3.060928,4.432935,6.91233,2.450761,2.757812,4.940192,4.9632247,2.09334803990795,-1.04143472231043,0.9184643880218,10.7221329807062,0.00105861568818554,0.046481712286286,chr3,18486516,18959184
AC144835.1,0.870451,0.335635,2.74911,6.141171,0.168949,0.0,0.138805,0.0,1.300515125,2.15999393880641,,0,0.078955,0.314014,0.278643,0.06524,0.460916,0.240222,0.325753,0.0,0.0,0.1763743,0.167306475804169,2.7547905093448,-1.8063269029151,10.9090225162477,0.000956970087411052,0.0437229763629424,chr15,98563824,98565007
AC244230.1,0.025761,0.049368,0.018616,0.0,0.0,0.127175,0.021092,0.0,0.0302515,0.0426690102868246,,0.063401,0.664355,0.172879,0.465541,0.233819,0.258516,0.114535,0.077879,0.239687,0.268619,0.2559231,0.184790503010211,-2.33814697293454,-2.06970222330301,12.7693291756574,0.000352349174089753,0.0254834603286777,JH591181.2,646742,662896
ACOT7,45.637897,16.789429,21.710565,14.378198,42.037509,38.405325,80.727369,4.350476,33.004596,24.2201593142654,,71.498248,139.70341,127.613981,195.030921,106.134576,71.193155,105.679454,62.779577,82.663509,62.576493,102.4873324,42.303672712578,-1.10267332609597,6.09658040080892,13.0806201857778,0.000298366651818988,0.0233372998975932,chr1,6324329,6454451
ACTR3B,21.069653,5.759612,8.814309,7.354898,9.667811,8.807361,24.693446,1.766037,10.991640875,7.80368010277751,,19.999121,48.417179,37.053144,55.505594,27.912238,17.185202,18.986805,21.065274,22.673082,24.492314,29.3289953,13.2861903192747,-1.07185826339424,4.75987818315125,19.1482495257095,1.20948372569317e-05,0.00535092608611553,chr7,152456834,152552463
ADAD2,0.643021,0.215666,0.0,0.563727,0.0,0.386655,0.246452,0.0,0.256940125,0.256311979312844,,2.378835,0.875646,0.510178,5.104777,0.617441,4.692294,0.652431,0.685097,2.119092,0.465638,1.8101429,1.76319528865274,-2.84547603946625,0.218772305151938,16.672138767615,4.44287424899237e-05,0.00919750001192825,chr16,84224744,84230774
ADAM11,17.137617,3.377971,5.963596,6.760764,6.755126,11.351302,15.633367,1.008715,8.49855725,5.7131510327016,,17.935215,29.626192,34.065598,50.985507,17.924256,10.907799,30.143511,21.160833,11.425592,13.371368,23.7545871,12.5723451950334,-1.13473650570689,5.45901921801994,15.0703634427246,0.000103576760963873,0.0133914346954867,chr17,42836399,42859214
ADAM23,16.660365,5.018912,7.455438,6.189627,11.592159,15.267849,20.442302,0.921505,10.443519625,6.65837503125813,,21.380529,26.775558,35.23008,51.580408,21.245239,22.808509,26.751189,14.925942,17.140221,27.343964,26.5181639,10.5150793844146,-1.00897881994703,6.16604239103775,10.5594880646939,0.0011559320545409,0.0487410843757234,chr2,207308263,207485851
ADAM33,19.775844,9.649609,7.269812,17.731979,3.105752,1.529967,8.674007,4.424947,9.020239625,6.62634859905182,,4.26165,5.734735,4.260435,12.915479,2.403515,4.565572,7.041876,4.023371,3.915217,3.665715,5.2787565,2.95372275521753,1.25499047719324,3.85722410964003,17.5925413936702,2.73659560555352e-05,0.00752536218032094,chr20,3648612,3662893
ADAMTS18,1.38759,1.510054,11.597696,1.273985,2.67965,0.179936,1.338319,0.51449,2.560215,3.72570897188545,,0.622732,1.651024,1.059101,0.392804,0.354276,0.750393,1.742871,1.724876,0.300501,0.301787,0.8900365,0.610172062318536,1.78234094281133,2.53723439794346,14.4900711728534,0.000140900241874052,0.0156145592897959,chr16,77281710,77469011
ADAMTS4,9.368684,3.255461,10.944043,3.759566,4.509092,1.685438,1.600148,4.073659,4.899511375,3.43433855942014,,1.231752,2.807315,2.320168,0.771098,1.015528,4.55435,2.426975,1.721173,4.241512,0.695316,2.1785187,1.3750352918258,1.60857881191773,4.47483001194217,16.7101941711851,4.35463745632692e-05,0.00919750001192825,chr1,161154098,161168846
ADAMTS9-AS2,1.129626,0.695483,0.779004,2.990474,0.989949,0.43434,0.451023,0.355379,0.97815975,0.858031613309332,,0.56348,0.291825,1.373794,0.774824,0.314432,0.550512,0.664029,0.497809,0.427448,0.327386,0.5785539,0.320357477094799,1.1412460982771,0.199196167974148,10.617311963221,0.00112033789003095,0.0480562833507906,chr3,64670585,64997143
ADAMTSL3,1.998074,1.100166,1.919062,3.905246,0.937767,0.18172,0.986936,0.788734,1.477213125,1.14565728979075,,0.653367,2.236416,1.537843,1.068232,0.264833,0.642872,0.781277,1.019187,0.531795,0.256684,0.8992506,0.608208540630816,1.16042213751187,2.14212384706693,12.590201019385,0.000387774435282494,0.0269741591465487,chr15,84322838,84708594
ADCY1,28.81549,3.820155,8.172693,9.535548,6.271663,9.58541,17.314413,3.373966,10.86116725,8.46262698317298,,27.256466,27.811775,56.369431,52.981556,25.696689,7.025748,38.912873,24.207897,22.768845,18.644519,30.1675799,15.1880520982419,-1.22831691102355,7.18678837793493,14.4838287159694,0.000141367951308457,0.0156209174012688,chr7,45613739,45762715
ADH1B,11.560087,2.840643,1.55623,7.299289,3.138006,1.536274,0.874724,2.797965,3.95040225,3.65204212934375,,2.300603,4.933077,2.294272,0.376373,0.150119,1.322294,0.860524,1.150809,1.458318,0.334617,1.5181006,1.41663094664436,1.85905972176599,2.76354431295939,15.6572405890451,7.59213511954876e-05,0.0115478529796273,chr4,100226121,100242558
AEBP1,67.899969,27.266757,29.169833,144.674208,46.000019,9.137439,39.871828,7.196829,46.40211025,44.3221845695871,,19.858869,12.343853,16.152425,18.076663,6.167023,10.101773,8.31521,23.307614,20.989693,10.760831,14.6073954,5.86401676810469,1.82798575566856,6.08024188869815,32.8844050758159,9.78047099317515e-09,9.23097153120859e-05,chr7,44143960,44154161
AGBL4,3.041933,0.659957,1.611993,2.095332,3.000924,1.88826,4.726376,0.072303,2.13713475,1.46648297549475,,6.298858,6.193022,9.634593,9.154799,4.493977,4.565737,6.468129,3.724299,4.026247,5.781657,6.0341318,2.02606616123692,-1.29176554846675,2.86708013465705,14.6287237987227,0.000130904072349483,0.0147963407446684,chr1,48998527,50489585
AGMAT,1.294937,0.24762,0.221199,0.262874,0.180983,0.374143,0.849953,0.091105,0.44035175,0.415484223526082,,0.790306,1.835302,2.023854,2.676854,1.119045,1.696888,1.316001,0.971993,1.110433,0.343049,1.3883725,0.67804711835769,-1.27929720557484,0.497468268097472,11.3880310485743,0.000739188390741273,0.0380195271383175,chr1,15898848,15911605
AK5,154.387496,45.140176,120.887788,43.660243,45.582054,71.601575,184.608117,7.509692,84.172142625,62.1687487979363,,157.039443,302.04061,287.261314,327.600649,140.926879,140.769262,135.040403,179.709339,134.441606,177.038363,198.1867868,76.4315195195217,-1.02328763159434,8.15824573063804,11.0965265061577,0.000864895616378054,0.0412240886699884,chr1,77747736,78025651
AKR1B10,0.061077,0.044848,0.0,0.207685,0.158778,0.0,0.0,0.143419,0.076975875,0.0821601071487643,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.1968944495964,-3.67992228758796,22.1901538011669,2.46936935366913e-06,0.00209769671215433,chr7,134212344,134226160
AKR1B15,0.168911,0.0,0.0,0.587468,0.0,0.0,0.0,0.0,0.094547375,0.207755325869459,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.69619646036381,-3.76989036460433,11.3179983738923,0.000767594121764518,0.0387761708487091,chr7,134233888,134264627
AL353898.2,1.863068,0.547324,1.334265,1.184676,0.728501,0.248611,0.858508,0.264239,0.878649,0.557736893769301,,0.158207,0.513154,1.085385,0.416487,0.054293,0.545478,0.289609,0.37807,0.416198,0.272011,0.4128892,0.280796213695508,1.45078769481328,-0.501163220266308,15.7580465610623,7.19811198050244e-05,0.0113618089742856,chr1,54498816,54500553
AL450992.2,5.100505,2.193417,5.172265,1.485805,2.30018,1.431407,5.014568,0.525479,2.90295325,1.89476138655254,,6.825564,4.663167,13.548475,18.032085,5.528502,5.994071,9.551598,6.391237,3.275969,7.056551,8.0867219,4.49939557603536,-1.13822585735171,0.799491484533846,10.9511346810427,0.000935463115314569,0.0432796901610692,chr1,151814353,151822861
AL592528.1,0,0.0,0.077329,0.110776,0.036874,0.032889,0.009334,0.013145,0.035043375,0.039871372013863,,0,0.023734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023734,0.00750534979864363,4.02446150505619,-3.86466592661686,12.554832120698,0.000395183098896472,0.0272248463593775,chr21,47247875,47256333
AL627171.2,0.130079,0.096342,0.089191,0.571621,0.10317,0.060328,0.126791,0.034441,0.151495375,0.172728853078987,,0,0.045189,0.037857,0.0,0.0,0.020778,0.0,0.0,0.033459,0.0,0.0137283,0.0186838192803292,3.48591322244334,-3.41522223490324,25.6052189923016,4.18904860439504e-07,0.000847220119351025,chr14,50291993,50293258
ALMS1-IT1,0.337398,0.393636,1.658932,0.825504,0.565188,0.349189,0.286797,0.124688,0.5676665,0.487487282380635,,0.242655,0.274845,0.789516,0.103934,0.075494,0.123211,0.220073,0.105718,0.49573,0.112187,0.2543363,0.226203534200728,1.5126814883966,-0.824307798665443,11.8175326880804,0.000586755626575847,0.0334616156871739,chr2,73683891,73686611
AMMECR1LP1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0.122414,0.036334,0.1184,0.0,0.047142,0.0,0.042743,0.207693,0.0574726,0.0702998529367831,-4.41958134323108,-4.29749465971505,10.524584820437,0.00117796873548005,0.049266758878508,chr13,97225913,97226753
AMPH,30.756484,6.298146,9.7656,5.028558,18.654311,23.506334,52.758084,1.322104,18.511202625,17.1158187164916,,47.632468,41.645784,74.663951,143.576027,49.500617,36.105028,42.581394,43.845624,34.755665,50.594983,56.4901541,32.5541188415024,-1.29898955960658,6.25917604838203,10.9755951450148,0.000923196022614471,0.0428873400858367,chr7,38423305,38671167
ANGPT1,4.813837,2.379336,5.138645,10.227203,0.923996,0.38586,1.634385,0.168711,3.208996625,3.40496863140512,,1.110666,1.682472,3.792346,1.567102,0.442303,1.522817,0.43124,2.213308,0.396814,0.281286,1.3440354,1.08901399113971,1.46993997438802,2.38639508427414,11.1638997350814,0.000834044183546125,0.040402983806701,chr8,108261721,108510283
ANKRD20A10P,0.235657,0.027613,0.080596,0.031064,0.173341,0.065387,0.060031,0.017655,0.086418,0.0776905978628413,,0.250787,0.329826,0.688061,0.335709,0.201803,0.220118,0.502226,0.223748,0.254064,0.196533,0.3202875,0.158678990761747,-1.45358115576263,-2.13166584517457,10.5258899550254,0.00117713711884969,0.049266758878508,chr13,25324795,25326309
ANKRD53,0.894764,0.603365,1.070719,2.159276,0.318688,0.25346,0.895232,0.21595,0.80143175,0.637976702447612,,0.186606,0.42733,0.696516,0.26312,0.156157,0.385198,0.279148,0.358204,0.428294,0.131666,0.3312239,0.168151580705855,1.13218259686664,-1.77645538330309,10.4724714389368,0.00121166514716185,0.0497601067106712,chr2,71205510,71212626
ANKRD53,0.894764,0.603365,1.070719,2.159276,0.318688,0.25346,0.895232,0.21595,0.80143175,0.637976702447612,,0.186606,0.42733,0.696516,0.26312,0.156157,0.385198,0.279148,0.358204,0.428294,0.131666,0.3312239,0.168151580705855,1.13218259686664,-1.77645538330309,10.4724714389368,0.00121166514716185,0.0497601067106712,KB663603.1,544661,551777
ANO3,4.702356,0.490703,1.113076,2.069684,2.942675,3.335721,4.275098,0.083135,2.376556,1.72216927742658,,6.066404,11.489002,10.791162,21.591763,8.130441,4.236596,5.094615,4.742053,4.152334,11.169149,8.7463519,5.38466823310803,-1.5988098191172,4.50702596889326,15.1490421390628,9.93487016970643e-05,0.0130342323284792,chr11,26210829,26684835
ANPEP,0.937146,1.286852,0.708391,1.795897,2.182702,0.522819,0.962492,1.40821,1.225563625,0.559619632180629,,0.749943,0.877089,0.674264,0.839857,0.313977,0.920408,1.003424,0.451021,1.059443,0.112859,0.7002285,0.312634069113201,1.46227727752052,1.23377589600706,11.3772737702996,0.000743481577629305,0.0381710047684224,chr15,90328120,90358633
ANXA1,76.385866,34.284516,69.996566,228.086255,43.818803,7.890102,14.290683,24.721663,62.43430675,71.2605598258272,,16.800504,47.704593,23.781573,12.355448,4.384606,64.29621,10.015228,12.045742,14.99364,7.635973,21.4013517,19.3728799504817,1.83992317956633,5.19008264281789,18.4503431887893,1.74389424725278e-05,0.00617218670797985,chr9,75766673,75785309
ANXA2P2,5.145815,1.267746,3.403606,6.169565,2.196695,1.305191,1.262661,2.994124,2.968175375,1.86479494740053,,2.993267,2.708429,2.492453,0.612719,0.486897,3.396039,0.816594,1.117019,1.275368,0.91541,1.6814195,1.09344064262759,1.4086207668037,0.820480681556619,10.795231641246,0.00101761878466478,0.0455907706936566,chr9,33624223,33625532
ANXA8L2,0.101561,0.035707,0.029124,0.0,0.039874,0.120453,0.050072,0.0,0.047098875,0.0435848400984874,,0.072618,0.695667,0.165288,0.867281,0.200056,0.345601,0.105552,0.048265,0.2692,0.239481,0.3009009,0.272042044776763,-1.88793060333773,-2.18333037803056,10.4871894946325,0.00120205083316949,0.0496881117672693,chr10,47746936,47763041
AOX2P,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.058446,0.029336,0.028323,0.0,0.023978,0.023403,0.0,0.0,0.028772,0.023579,0.0215837,0.0180327147216755,-4.33003715905477,-4.32650351968132,13.1829650445018,0.000282505417566064,0.023018704016329,chr2,201560640,201658962
AP000347.4,3.38915,1.86084,2.488206,4.772634,1.149773,4.644962,14.471419,0.262122,4.12988825,4.46987979566734,,1.71447,3.504809,1.2751,1.394278,1.992704,2.001343,1.620039,1.219014,1.703505,0.178058,1.660332,0.833090606103162,1.65429243958763,0.602310003945809,12.1550417162376,0.00048955348264331,0.0303135269329765,chr22,23980679,23982949
AP000438.4,0,0.0,0.0,0.0,0.0,0.0,0.09569,0.0,0.01196125,0.0338315239458704,,0,0.0,0.376087,0.443552,0.225845,0.149337,0.137574,0.037609,0.210241,0.377248,0.1957493,0.161647009562366,-3.29828335795317,-3.96389841569021,10.6065144940473,0.0011268991637478,0.0481959207456558,chr11,63033308,63033728
AP000688.29,2.795142,3.260142,5.919166,4.081671,1.922965,1.635734,1.786997,0.76552,2.770917125,1.64172620379408,,1.011039,2.95181,2.130541,1.356187,0.514743,1.839343,1.783689,1.082167,2.757418,0.721459,1.6148396,0.827405109544452,1.17971088647059,1.71164775404579,14.048619484366,0.000178144556188129,0.0176675097589799,chr21,37477179,37481988
AP002387.1,0.155731,0.09272,0.0,0.0,0.137014,0.0,0.15998,0.0,0.068180625,0.07561821242633,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.77016864768419,-4.2755568671664,14.9801141547529,0.000108650127606715,0.0138264001713273,chr11,71093647,71134469
AP002954.3,1.521806,2.411868,6.583775,1.409942,3.411418,1.488006,3.81051,0.367126,2.625556375,1.95759921497736,,1.016452,1.692344,1.831768,1.266348,0.38084,0.678687,1.510411,2.259428,0.978036,0.315092,1.1929406,0.638834894834025,1.51428839214434,-0.216871276549767,14.3495616388056,0.000151815038131729,0.0161998313980041,chr11,118507338,118508815
AP002954.3,1.521806,2.411868,6.583775,1.409942,3.411418,1.488006,3.81051,0.367126,2.625556375,1.95759921497736,,1.016452,1.692344,1.831768,1.266348,0.38084,0.678687,1.510411,2.259428,0.978036,0.315092,1.1929406,0.638834894834025,1.51428839214434,-0.216871276549767,14.3495616388056,0.000151815038131729,0.0161998313980041,JH720443.2,262058,263535
AP004290.1,0,0.020762,0.038961,0.235811,0.0,0.0,0.03415,0.0,0.0412105,0.080299108609178,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.44370810597693,-4.42003901872033,12.3292736897154,0.000445909871967473,0.0286622362538548,chr8,100245276,100246687
AP1S1,48.923337,19.8028,28.811271,28.299124,41.575348,54.042774,73.473216,7.06413,37.749,21.0917178187964,,65.609715,151.928374,106.164348,226.715154,100.183696,112.109954,69.664541,85.607208,97.456993,83.259962,109.8699945,47.7965390136097,-1.11958161523011,5.93083633799055,16.9326223805796,3.87302342374176e-05,0.00855234344750381,chr7,100797678,100804877
APLNR,183.780394,24.944936,65.891865,271.229929,114.531245,11.774868,79.305491,2.659763,94.264811375,93.1746032537704,,40.981677,22.192968,65.023135,21.36233,4.028547,42.983868,20.805256,65.524029,62.060618,14.274491,35.9236919,22.599525712868,1.4946681207411,6.91417677806155,10.7733211149964,0.00102973575763707,0.0459518567527421,chr11,57001051,57004709
APOBEC3D,0.918823,0.42338,0.446327,1.094821,0.256626,0.308423,0.523481,0.333335,0.538152,0.304863616406231,,0.251407,0.392502,0.284332,0.20864,0.138587,0.881867,0.306098,0.123912,0.354917,0.130638,0.30729,0.222696976483991,1.34499317378236,-0.504415645235668,12.561298769156,0.000393817953505975,0.0272105282000626,chr22,39410368,39429281
